연도,EBIT,법인세율,NOPAT,감가상각비,Capex,NWC 증감,Python FCFF,Excel FCFF,대사 차이
2026,604772.38649709,0.255,450555.42794033204,176834.03113950003,335613.94740276004,5312.854131798318,286462.6575452737,286462.6575452737,0.0
2027,647884.1800610088,0.255,482673.71414545155,193620.5595584624,337556.25346405397,1895.9355310897809,336842.08470877015,336842.08470877015,0.0
2028,693834.9519762902,0.255,516907.0392223362,210489.2550939307,187101.56008349397,-10841.699569939869,551136.4338027128,551136.4338027128,0.0
2029,728592.0108239072,0.255,542801.0480638109,215728.36074674342,203517.3214591919,589.788490318635,554422.2988610438,554422.2988610438,0.0
2030,764681.463195675,0.255,569687.6900807779,215462.7327236432,215462.7327236432,-13154.314624093182,582842.004704871,582842.0047048712,-2.3283064365386963e-10
